t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var],Unnamed: 20
31.7,12.5,0,2279,4.97,1186.12,318.347,1.24463,683.459,683.238,-17.3866,318.899,0.112214,58.8727,58.8458,-1.78035,742.332,742.084,-19.167,
31.95,12.5,0,2279,5.01,1195.67,317.746,1.22927,680.417,680.277,-13.7704,318.428,0.109277,58.1877,58.1736,-1.28337,738.604,738.451,-15.0537,
32.2,12.5,0,2280,4.97,1186.64,312.663,1.2234,677.992,677.883,-12.1607,313.135,0.112055,59.8879,59.8598,-1.83582,737.876,737.743,-13.9965,
32.45,12.5,0,2281,5.02,1199.11,315.349,1.22408,685.593,685.453,-13.8546,315.832,0.112075,60.069,60.0271,-2.24311,745.654,745.48,-16.0978,
32.7,12.5,0,2282,4.96,1185.29,309.519,1.21305,682.434,682.299,-13.5934,310.063,0.110223,58.2986,58.2982,0.224384,740.718,740.597,-13.369,
32.95,12.5,0,2280,4.96,1184.25,315.344,1.21502,685.339,685.167,-15.3616,315.986,0.109838,58.3806,58.3699,-1.11803,743.72,743.537,-16.4796,
33.2,12.5,0,2281,4.95,1182.39,313.416,1.20507,679.612,679.462,-14.2924,314.066,0.105982,57.2261,57.221,-0.763741,736.836,736.683,-15.0561,
33.45,12.5,0,2280,4.94,1179.48,313.188,1.19894,680.961,680.831,-13.2722,313.821,0.109023,58.7496,58.7463,-0.629048,739.708,739.578,-13.9013,
33.7,12.5,0,2281,4.94,1180.0,312.169,1.19394,678.792,678.683,-12.1806,312.79,0.108589,57.6641,57.6613,-0.562403,736.454,736.344,-12.743,
33.95,12.5,0,2281,4.96,1184.77,313.925,1.21233,683.558,683.441,-12.6234,314.619,0.109142,58.2405,58.2341,-0.862837,741.798,741.675,-13.4862,
34.2,12.5,0,2281,4.96,1184.77,313.988,1.21061,680.223,680.087,-13.5995,314.622,0.105666,56.8389,56.8371,-0.453097,737.058,736.924,-14.0526,
34.45,12.5,0,2280,4.96,1184.25,311.001,1.21759,687.561,687.386,-15.4715,311.632,0.108207,58.0239,58.0233,-0.268146,745.576,745.41,-15.7397,
34.7,12.5,0,2281,4.93,1177.61,316.262,1.21149,680.523,680.387,-13.5953,316.923,0.108627,57.7404,57.7307,-1.05463,738.263,738.118,-14.6499,
34.95,12.5,0,2279,4.97,1186.12,314.714,1.21255,681.635,681.486,-14.2596,315.391,0.110376,58.5648,58.5588,-0.836698,740.199,740.045,-15.0963,
35.2,12.5,0,2280,4.95,1181.87,314.622,1.23728,682.301,682.169,-13.4138,315.036,0.112651,59.9994,59.9674,-1.95766,742.296,742.137,-15.3715,
35.45,12.5,0,2280,4.97,1186.64,319.39,1.23498,676.785,676.666,-12.6791,319.887,0.110956,58.6814,58.6432,-2.11665,735.458,735.309,-14.7958,
35.7,12.5,0,2280,4.95,1181.87,316.931,1.23381,690.889,690.721,-15.2499,317.551,0.107608,57.4977,57.4897,-0.959454,748.386,748.21,-16.2093,
35.95,12.5,0,2280,4.96,1184.25,316.849,1.21486,680.764,680.614,-14.2888,317.483,0.108273,57.6436,57.6344,-1.03027,738.407,738.249,-15.3191,
36.2,12.5,0,2280,4.94,1179.48,313.274,1.20824,683.065,682.915,-14.3233,313.931,0.107139,57.7216,57.7185,-0.599311,740.784,740.633,-14.9226,
36.45,12.5,0,2279,5.02,1198.05,317.219,1.23001,678.386,678.26,-13.0563,317.704,0.110766,58.678,58.6411,-2.07845,737.057,736.901,-15.1347,
36.7,12.5,0,2280,4.97,1186.64,318.668,1.22461,681.342,681.181,-14.7771,319.302,0.109992,58.3624,58.3353,-1.77813,739.702,739.517,-16.5552,
36.95,12.5,0,2279,5.01,1195.67,313.503,1.20862,682.599,682.474,-13.0718,314.18,0.109187,58.1327,58.1239,-1.01408,740.732,740.598,-14.0858,
37.2,12.5,0,2280,4.94,1179.48,317.385,1.23297,679.149,679.029,-12.777,317.866,0.112074,59.1678,59.1383,-1.86597,738.312,738.167,-14.6429,
37.45,12.5,0,2280,4.97,1186.64,318.178,1.2401,684.669,684.523,-14.1136,318.756,0.108328,57.495,57.4717,-1.63894,742.162,741.995,-15.7525,
37.7,12.5,0,2280,4.97,1186.64,315.812,1.21777,687.417,687.319,-11.6421,316.471,0.109144,58.4331,58.4171,-1.36993,745.849,745.736,-13.012,
37.95,12.5,0,2279,5.01,1195.67,316.152,1.23661,680.867,680.685,-15.7625,316.585,0.110883,58.3983,58.3829,-1.34497,739.266,739.068,-17.1074,
38.2,12.5,0,2280,4.98,1189.03,318.657,1.23441,680.016,679.884,-13.3592,319.19,0.112156,58.8628,58.8404,-1.62342,738.877,738.725,-14.9826,
38.45,12.5,0,2280,4.98,1189.03,314.39,1.22304,683.948,683.825,-12.9502,314.923,0.110391,59.0413,59.0028,-2.13184,742.981,742.828,-15.0821,
